,NTD ID,Legacy NTD ID,Agency,Status,Reporter Type,UZA,UZA Name,Mode,TOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
39,11.0,0011,Valley Regional Transit,Active,Full Reporter: Operating,108.0,"Boise City, ID",MB,PT,,60190.0,,110367.0,126606.0,124777.0,207039.0,203249.0,120573.0,,,,,,,319872.0,1285338.0,1256650.0,1067452.0,823614.0,948457.0,252555.0
40,12.0,0012,Municipality of Anchorage,Active,Full Reporter: Operating,149.0,"Anchorage, AK",DR,PT,192884.0,196021.0,190875.0,183043.0,180193.0,178860.0,196404.0,194971.0,197845.0,199063.0,196448.0,184459.0,174663.0,158615.0,174245.0,172498.0,132917.0,131456.0,78142.0,89838.0,129261.0,26497.0
41,12.0,0012,Municipality of Anchorage,Active,Full Reporter: Operating,149.0,"Anchorage, AK",MB,DO,3110480.0,3339451.0,3536059.0,3975074.0,3929870.0,3988745.0,4220704.0,4165535.0,4145578.0,4148501.0,4088549.0,3986877.0,3896678.0,3649698.0,3450261.0,3190209.0,2941924.0,3251159.0,1710144.0,1953114.0,2412726.0,578163.0
42,12.0,0012,Municipality of Anchorage,Active,Full Reporter: Operating,149.0,"Anchorage, AK",MB,PT,,,,,,,,,,,,,,,,51398.0,285576.0,158949.0,,,,
43,12.0,0012,Municipality of Anchorage,Active,Full Reporter: Operating,149.0,"Anchorage, AK",VP,PT,114117.0,83579.0,88075.0,88075.0,,,,,,,,,,,193227.0,201544.0,206330.0,208840.0,146075.0,150954.0,189684.0,55000.0
44,16.0,0016,RiverCities Transit,Active,Full Reporter: Operating,431.0,"Longview, WA-OR",CB,DO,,,,,,,,,,,,,,,,,,,,,521.0,278.0
45,16.0,0016,RiverCities Transit,Active,Full Reporter: Operating,431.0,"Longview, WA-OR",DR,PT,41444.0,41127.0,42282.0,43033.0,46044.0,44174.0,46895.0,49603.0,53535.0,62652.0,62048.0,59381.0,59022.0,56756.0,49893.0,49546.0,52622.0,55867.0,26222.0,26071.0,30218.0,7718.0
46,16.0,0016,RiverCities Transit,Active,Full Reporter: Operating,431.0,"Longview, WA-OR",MB,DO,330607.0,325565.0,336517.0,322730.0,330403.0,341028.0,358256.0,444789.0,395778.0,388070.0,381018.0,359742.0,392674.0,428238.0,396896.0,377835.0,354317.0,334731.0,204103.0,169320.0,205740.0,58297.0
47,16.0,0016,RiverCities Transit,Active,Full Reporter: Operating,431.0,"Longview, WA-OR",VP,DO,,,,,,,,,,,,,,,310.0,18.0,,,,,,
48,18.0,0018,Ben Franklin Transit,Active,Full Reporter: Operating,171.0,"Kennewick-Pasco, WA",DR,DO,293573.0,319693.0,349051.0,372994.0,413267.0,427373.0,430930.0,425241.0,364358.0,344993.0,328761.0,308232.0,312136.0,317079.0,308165.0,293095.0,316092.0,299448.0,153730.0,173407.0,217968.0,62978.0
49,18.0,0018,Ben Franklin Transit,Active,Full Reporter: Operating,171.0,"Kennewick-Pasco, WA",DR,PT,101536.0,130542.0,167341.0,180538.0,216425.0,204602.0,237978.0,192399.0,143781.0,67534.0,66025.0,69499.0,67394.0,69772.0,72042.0,73612.0,75755.0,77866.0,19573.0,54767.0,142018.0,54441.0
